frmula,n ions,x,formation energy
Fe8Li8O32P8 ,           8,  1.00000000,  0.00000000
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.07657919
Fe8Li6O32P8 ,           6,  0.75000000, -0.11168944
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.10858669
Fe8Li6O32P8 ,           6,  0.75000000, -0.07657919
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.11168944
Fe8Li6O32P8 ,           6,  0.75000000, -0.10858669
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.10858669
Fe8Li6O32P8 ,           6,  0.75000000, -0.11168944
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.10858669
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.11168944
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.07657919
Fe8Li6O32P8 ,           6,  0.75000000, -0.07657919
Fe8Li6O32P8 ,           6,  0.75000000, -0.11710756
Fe8Li6O32P8 ,           6,  0.75000000, -0.11756431
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.15649684
Fe8Li5O32P8 ,           5,  0.62500000, -0.15649684
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.15489309
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15489309
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.10731259
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.10731259
Fe8Li5O32P8 ,           5,  0.62500000, -0.15649684
Fe8Li5O32P8 ,           5,  0.62500000, -0.15489309
Fe8Li5O32P8 ,           5,  0.62500000, -0.10731259
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.10731259
Fe8Li5O32P8 ,           5,  0.62500000, -0.10731259
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15489309
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15489309
Fe8Li5O32P8 ,           5,  0.62500000, -0.15649684
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.11881734
Fe8Li5O32P8 ,           5,  0.62500000, -0.10731259
Fe8Li5O32P8 ,           5,  0.62500000, -0.15489309
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15232797
Fe8Li5O32P8 ,           5,  0.62500000, -0.15649684
Fe8Li5O32P8 ,           5,  0.62500000, -0.15649684
