atoms_id,energy,volume,atoms
0         , 1         , -5.11934169e+02,  5.62617651e+02,              54
0         , 2         , -5.11930515e+02,  5.62463484e+02,              54
0         , 3         , -5.11606288e+02,  5.63030495e+02,              54
0         , 28        , -5.11887170e+02,  5.63808117e+02,              54
0         , 29        , -5.11934169e+02,  5.62617651e+02,              54
0         , 30        , -5.11930515e+02,  5.62463484e+02,              54
0         , 31        , -5.11862348e+02,  5.61750403e+02,              54
1         , 2         , -5.11606288e+02,  5.63030495e+02,              54
1         , 3         , -5.11930515e+02,  5.62463484e+02,              54
1         , 28        , -5.11934169e+02,  5.62617651e+02,              54
1         , 29        , -5.11887170e+02,  5.63808117e+02,              54
1         , 30        , -5.11862348e+02,  5.61750403e+02,              54
1         , 31        , -5.11930515e+02,  5.62463484e+02,              54
2         , 3         , -5.11934169e+02,  5.62617651e+02,              54
2         , 28        , -5.11930515e+02,  5.62463484e+02,              54
2         , 29        , -5.11862348e+02,  5.61750403e+02,              54
2         , 30        , -5.11887170e+02,  5.63808117e+02,              54
2         , 31        , -5.11934169e+02,  5.62617651e+02,              54
3         , 28        , -5.11862348e+02,  5.61750403e+02,              54
3         , 29        , -5.11930515e+02,  5.62463484e+02,              54
3         , 30        , -5.11934169e+02,  5.62617651e+02,              54
3         , 31        , -5.11887170e+02,  5.63808117e+02,              54
28        , 29        , -5.11934169e+02,  5.62617651e+02,              54
28        , 30        , -5.11930515e+02,  5.62463484e+02,              54
28        , 31        , -5.11606288e+02,  5.63030495e+02,              54
29        , 30        , -5.11606288e+02,  5.63030495e+02,              54
29        , 31        , -5.11930515e+02,  5.62463484e+02,              54
30        , 31        , -5.11934169e+02,  5.62617651e+02,              54
