frmula,n ions,x,formation energy
F8K8O32P8V8 ,           8,  1.00000000,  0.00000000
F8O32P8V8   ,           0,  0.00000000,  0.00000000
F8K7O32P8V8 ,           7,  0.87500000, -0.06033902
F8K7O32P8V8 ,           7,  0.87500000, -0.06033902
F8K7O32P8V8 ,           7,  0.87500000, -0.06033902
F8K7O32P8V8 ,           7,  0.87500000, -0.06033902
F8K7O32P8V8 ,           7,  0.87500000, -0.07109289
F8K7O32P8V8 ,           7,  0.87500000, -0.07109289
F8K7O32P8V8 ,           7,  0.87500000, -0.07109289
F8K7O32P8V8 ,           7,  0.87500000, -0.07109289
F8K6O32P8V8 ,           6,  0.75000000, -0.11561678
F8K6O32P8V8 ,           6,  0.75000000, -0.06736091
F8K6O32P8V8 ,           6,  0.75000000, -0.10665541
F8K6O32P8V8 ,           6,  0.75000000, -0.12779503
F8K6O32P8V8 ,           6,  0.75000000, -0.11594116
F8K6O32P8V8 ,           6,  0.75000000, -0.12230916
F8K6O32P8V8 ,           6,  0.75000000, -0.13451228
F8K5O32P8V8 ,           5,  0.62500000, -0.16033567
F8K5O32P8V8 ,           5,  0.62500000, -0.13003180
F8K5O32P8V8 ,           5,  0.62500000, -0.16033567
F8K5O32P8V8 ,           5,  0.62500000, -0.13003192
F8K5O32P8V8 ,           5,  0.62500000, -0.16493630
F8K5O32P8V8 ,           5,  0.62500000, -0.16493630
F8K4O32P8V8 ,           4,  0.50000000, -0.13907831
F8K4O32P8V8 ,           4,  0.50000000, -0.15269106
F8K4O32P8V8 ,           4,  0.50000000, -0.19116069
F8K4O32P8V8 ,           4,  0.50000000, -0.14172294
F8K4O32P8V8 ,           4,  0.50000000, -0.19485881
F8K3O32P8V8 ,           3,  0.37500000, -0.16378795
F8K3O32P8V8 ,           3,  0.37500000, -0.16378795
F8K3O32P8V8 ,           3,  0.37500000, -0.16378795
F8K3O32P8V8 ,           3,  0.37500000, -0.16378795
F8K2O32P8V8 ,           2,  0.25000000, -0.12275409
F8K2O32P8V8 ,           2,  0.25000000, -0.12360897
F8K2O32P8V8 ,           2,  0.25000000, -0.12163122
F8KO32P8V8  ,           1,  0.12500000, -0.06769361
F8KO32P8V8  ,           1,  0.12500000, -0.06769361
