frmula,n ions,x,formation energy
Li8Mn4O12   ,           8,  1.00000000,  0.00000000
Mn4O12      ,           0,  0.00000000,  0.00000000
Li7Mn4O12   ,           7,  0.87500000, -0.22925475
Li7Mn4O12   ,           7,  0.87500000, -0.26546100
Li7Mn4O12   ,           7,  0.87500000, -0.26172750
Li7Mn4O12   ,           7,  0.87500000, -0.26172750
Li7Mn4O12   ,           7,  0.87500000, -0.22925475
Li7Mn4O12   ,           7,  0.87500000, -0.26546100
Li7Mn4O12   ,           7,  0.87500000, -0.26172750
Li7Mn4O12   ,           7,  0.87500000, -0.26172750
Li6Mn4O12   ,           6,  0.75000000, -0.41666350
Li6Mn4O12   ,           6,  0.75000000, -0.45265850
Li6Mn4O12   ,           6,  0.75000000, -0.41168250
Li6Mn4O12   ,           6,  0.75000000, -0.41168250
Li6Mn4O12   ,           6,  0.75000000, -0.38475300
Li6Mn4O12   ,           6,  0.75000000, -0.40326550
Li6Mn4O12   ,           6,  0.75000000, -0.40326550
Li5Mn4O12   ,           5,  0.62500000, -0.51326925
Li5Mn4O12   ,           5,  0.62500000, -0.47733675
Li5Mn4O12   ,           5,  0.62500000, -0.47733675
Li5Mn4O12   ,           5,  0.62500000, -0.51326925
Li5Mn4O12   ,           5,  0.62500000, -0.47733675
Li5Mn4O12   ,           5,  0.62500000, -0.47733675
Li4Mn4O12   ,           4,  0.50000000, -0.54246550
Li4Mn4O12   ,           4,  0.50000000, -0.48760675
Li4Mn4O12   ,           4,  0.50000000, -0.48760675
Li4Mn4O12   ,           4,  0.50000000, -0.47546725
Li4Mn4O12   ,           4,  0.50000000, -0.47546725
Li3Mn4O12   ,           3,  0.37500000, -0.45719900
Li3Mn4O12   ,           3,  0.37500000, -0.45719900
Li3Mn4O12   ,           3,  0.37500000, -0.45719900
Li3Mn4O12   ,           3,  0.37500000, -0.45719900
Li2Mn4O12   ,           2,  0.25000000, -0.24729675
Li2Mn4O12   ,           2,  0.25000000, -0.53354300
Li2Mn4O12   ,           2,  0.25000000, -0.53354300
LiMn4O12    ,           1,  0.12500000, -0.25860250
LiMn4O12    ,           1,  0.12500000, -0.25860250
