frmula,n ions,x,formation energy
Co6Li6O12   ,           6,  1.00000000,  0.00000000
Co6O12      ,           0,  0.00000000,  0.00000000
Co6Li5O12   ,           5,  0.83333333, -0.07225703
Co6Li5O12   ,           5,  0.83333333, -0.07225703
Co6Li5O12   ,           5,  0.83333333, -0.07225703
Co6Li5O12   ,           5,  0.83333333, -0.07225703
Co6Li5O12   ,           5,  0.83333333, -0.07225703
Co6Li5O12   ,           5,  0.83333333, -0.07225703
Co6Li4O12   ,           4,  0.66666667, -0.12809039
Co6Li4O12   ,           4,  0.66666667, -0.13609306
Co6Li4O12   ,           4,  0.66666667, -0.06102856
Co6Li4O12   ,           4,  0.66666667, -0.13609306
Co6Li4O12   ,           4,  0.66666667, -0.12809039
Co6Li3O12   ,           3,  0.50000000, -0.18591242
Co6Li3O12   ,           3,  0.50000000, -0.10633058
Co6Li3O12   ,           3,  0.50000000, -0.18591242
Co6Li3O12   ,           3,  0.50000000, -0.10633058
Co6Li2O12   ,           2,  0.33333333, -0.14807778
Co6Li2O12   ,           2,  0.33333333, -0.14807778
Co6Li2O12   ,           2,  0.33333333, -0.14026628
Co6LiO12    ,           1,  0.16666667, -0.08341831
Co6LiO12    ,           1,  0.16666667, -0.08341831
