frmula,n ions,x,formation energy
Fe8Li8O32P8 ,           8,  1.00000000,  0.00000000
Fe8O32P8    ,           0,  0.00000000,  0.00000000
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li7O32P8 ,           7,  0.87500000, -0.06605378
Fe8Li6O32P8 ,           6,  0.75000000, -0.07597231
Fe8Li6O32P8 ,           6,  0.75000000, -0.11737019
Fe8Li6O32P8 ,           6,  0.75000000, -0.11775331
Fe8Li6O32P8 ,           6,  0.75000000, -0.10848794
Fe8Li6O32P8 ,           6,  0.75000000, -0.11737019
Fe8Li6O32P8 ,           6,  0.75000000, -0.11775331
Fe8Li6O32P8 ,           6,  0.75000000, -0.11162769
Fe8Li5O32P8 ,           5,  0.62500000, -0.11851159
Fe8Li5O32P8 ,           5,  0.62500000, -0.11829747
Fe8Li5O32P8 ,           5,  0.62500000, -0.15249984
Fe8Li5O32P8 ,           5,  0.62500000, -0.15228484
Fe8Li5O32P8 ,           5,  0.62500000, -0.15568084
Fe8Li5O32P8 ,           5,  0.62500000, -0.15589522
Fe8Li4O32P8 ,           4,  0.50000000, -0.14714912
Fe8Li4O32P8 ,           4,  0.50000000, -0.15356300
Fe8Li4O32P8 ,           4,  0.50000000, -0.14716600
Fe8Li4O32P8 ,           4,  0.50000000, -0.18892025
Fe8Li4O32P8 ,           4,  0.50000000, -0.19413575
Fe8Li3O32P8 ,           3,  0.37500000, -0.17996578
Fe8Li3O32P8 ,           3,  0.37500000, -0.17998441
Fe8Li3O32P8 ,           3,  0.37500000, -0.17998441
Fe8Li3O32P8 ,           3,  0.37500000, -0.17996728
Fe8Li2O32P8 ,           2,  0.25000000, -0.15013931
Fe8Li2O32P8 ,           2,  0.25000000, -0.15013931
Fe8Li2O32P8 ,           2,  0.25000000, -0.14807869
Fe8LiO32P8  ,           1,  0.12500000, -0.09275234
Fe8LiO32P8  ,           1,  0.12500000, -0.09305922
