frmula,n ions,x,formation energy
Mg8O32V16   ,           8,  1.00000000,  0.00000000
O32V16      ,           0,  0.00000000,  0.00000000
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg7O32V16   ,           7,  0.87500000, -0.06929414
Mg6O32V16   ,           6,  0.75000000, -0.11015178
Mg6O32V16   ,           6,  0.75000000, -0.10785716
Mg6O32V16   ,           6,  0.75000000, -0.11504966
Mg6O32V16   ,           6,  0.75000000, -0.11015178
Mg6O32V16   ,           6,  0.75000000, -0.12376316
Mg6O32V16   ,           6,  0.75000000, -0.11504966
Mg6O32V16   ,           6,  0.75000000, -0.12711341
Mg5O32V16   ,           5,  0.62500000, -0.14871992
Mg5O32V16   ,           5,  0.62500000, -0.15382792
Mg5O32V16   ,           5,  0.62500000, -0.15129855
Mg5O32V16   ,           5,  0.62500000, -0.14871992
Mg5O32V16   ,           5,  0.62500000, -0.15382792
Mg5O32V16   ,           5,  0.62500000, -0.15129855
Mg4O32V16   ,           4,  0.50000000, -0.16032594
Mg4O32V16   ,           4,  0.50000000, -0.15363956
Mg4O32V16   ,           4,  0.50000000, -0.16032594
Mg4O32V16   ,           4,  0.50000000, -0.16792381
Mg4O32V16   ,           4,  0.50000000, -0.15363956
Mg3O32V16   ,           3,  0.37500000, -0.15908020
Mg3O32V16   ,           3,  0.37500000, -0.15908020
Mg3O32V16   ,           3,  0.37500000, -0.15908020
Mg3O32V16   ,           3,  0.37500000, -0.15908020
Mg2O32V16   ,           2,  0.25000000, -0.10024709
Mg2O32V16   ,           2,  0.25000000, -0.13422434
Mg2O32V16   ,           2,  0.25000000, -0.14108097
MgO32V16    ,           1,  0.12500000, -0.08423786
MgO32V16    ,           1,  0.12500000, -0.08423786
